Number,image,AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,FORM,TYPE,SCHOOL,TIMEFRAME,removed
524,https://www.wga.hu/detail/a/altichie/1/1view5.jpg,ALTICHIERO da Zevio,"(b. ca. 1330, Zevio, d. ca. 1390, Verona)",facade of the Oratory,1378-84,Fresco,"Oratorio di San Giorgio, Padua",architecture,religious,Italian,1351-1400,This shows a facade.
550,https://www.wga.hu/detail/a/alvares/porto2.jpg,"?LVARES, Baltasar","(active 1570, died 1624)",Exterior view,1622,Photo,"Nossa Senhora dos Grilos, Porto",architecture,other,Portuguese,1601-1650,The picture shows the facade of the church.
555,https://www.wga.hu/detail/a/amadeo/bergamo/facade3.jpg,"AMADEO, Giovanni Antonio","(b. ca. 1447, Pavia, d. 1522, Milano)",facade of the Cappella Colleoni (detail),1472-76,Istrian stone,"Piazza del Duomo, Bergamo",sculpture,other,Italian,1451-1500,In the lowest register are two rectangular supports of which are carved with putti.
557,https://www.wga.hu/detail/a/amadeo/bergamo/facade5.jpg,"AMADEO, Giovanni Antonio","(b. ca. 1447, Pavia, d. 1522, Milano)",facade of the Cappella Colleoni (detail),1472-76,Marble,"Piazza del Duomo, Bergamo",sculpture,other,Italian,1451-1500,The picture shows part of a pilaster with the heads of an emperor and a saint.
558,https://www.wga.hu/detail/a/amadeo/bergamo/facade6.jpg,"AMADEO, Giovanni Antonio","(b. ca. 1447, Pavia, d. 1522, Milano)",facade of the Cappella Colleoni (detail),1472-76,Marble,"Piazza del Duomo, Bergamo",sculpture,other,Italian,1451-1500,The picture shows the Creation of Eve.
559,https://www.wga.hu/detail/a/amadeo/bergamo/facade7.jpg,"AMADEO, Giovanni Antonio","(b. ca. 1447, Pavia, d. 1522, Milano)",facade of the Cappella Colleoni (detail),1472-76,Marble,"Piazza del Duomo, Bergamo",sculpture,other,Italian,1451-1500,The picture shows the Creation of Adam.
564,https://www.wga.hu/detail/a/amadeo/bergamo/interio3.jpg,"AMADEO, Giovanni Antonio","(b. ca. 1447, Pavia, d. 1522, Milano)",Funerary Monument of Bartolomeo Colleoni (detail),1472-76,Marble,"Cappella Colleoni, Bergamo",sculpture,religious,Italian,1451-1500,The detail shows the upper sarcophagus.
565,https://www.wga.hu/detail/a/amadeo/bergamo/interio4.jpg,"AMADEO, Giovanni Antonio","(b. ca. 1447, Pavia, d. 1522, Milano)",Funerary Monument of Bartolomeo Colleoni (detail),1472-76,Marble,"Cappella Colleoni, Bergamo",sculpture,religious,Italian,1451-1500,The detail shows the lower sarcophagus.
568,https://www.wga.hu/detail/a/amadeo/bergamo/interio7.jpg,"AMADEO, Giovanni Antonio","(b. ca. 1447, Pavia, d. 1522, Milano)",Interior view,1470-75,Istrian stone,"Cappella Colleoni, Bergamo",sculpture,religious,Italian,1451-1500, On the tribune arch are carvings with groups of children.
576,https://www.wga.hu/detail/a/amadeo/pavia/facade6.jpg,"AMADEO, Giovanni Antonio","(b. ca. 1447, Pavia, d. 1522, Milano)",Detail of the facade,1490s,Marble,"Certosa, Pavia",sculpture,other,Italian,1451-1500,The detail shows St Martin and other saints.
595,https://www.wga.hu/detail/a/amadeo/various/satiro1.jpg,"AMADEO, Giovanni Antonio","(b. ca. 1447, Pavia, d. 1522, Milano)",Creation of Eve,1482,Marble,"Castello Sforzesco, Milan",sculpture,religious,Italian,1451-1500,"This relief comes from the facade of Santa Maria presso San Satiro, Milan."
597,https://www.wga.hu/detail/a/amberger/fugger.jpg,"AMBERGER, Christoph","(b. ca. 1505, Augsburg, d. 1562, Augsburg)",Christoph Fugger,1541,"Wood, 97 x 80 cm","Alte Pinakothek, Munich",painting,portrait,German,1501-1550,The painting shows the influence of the Florentine Mannerist painters.
616,https://www.wga.hu/detail/a/amigoni/portlady.jpg,"AMIGONI, Jacopo","(b. 1682, Napoli, d. 1752, Madrid)",Portrait of a Lady,-,"Oil on canvas, 129 x 102 cm",Private collection,painting,portrait,Italian,1701-1750,The painting represents a lady wearing a blue and white velvet dress and seated in a sumptuous interior.
648,https://www.wga.hu/detail/a/ammanati/2/buoncom3.jpg,"AMMANATI, Bartolomeo","(b. 1511, Settignano, d. 1592, Firenze)",Tomb of Giovanni Buoncompagni (detail),1574,Marble,"Camposanto, Pisa",sculpture,religious,Italian,1551-1600,The picture shows the figure of Peace.
649,https://www.wga.hu/detail/a/ammanati/2/buoncom4.jpg,"AMMANATI, Bartolomeo","(b. 1511, Settignano, d. 1592, Firenze)",Tomb of Giovanni Buoncompagni (detail),1574,Marble,"Camposanto, Pisa",sculpture,religious,Italian,1551-1600,The picture shows the figure of Justice.
655,https://www.wga.hu/detail/a/ammanati/2/sannaza3.jpg,"AMMANATI, Bartolomeo","(b. 1511, Settignano, d. 1592, Firenze)",Tomb of Jacopo Sannazaro (detail),c. 1536,Marble,"Santa Maria del Parto a Mergellina, Naples",sculpture,religious,Italian,1551-1600,The picture shows the figure of Minerva.
673,https://www.wga.hu/detail/a/ammanati/4/lucca2.jpg,"AMMANATI, Bartolomeo","(b. 1511, Settignano, d. 1592, Firenze)",Palazzo Ducale: Cortile degli Svizzeri (detail),1577-86,Photo,"Piazza Napoleone, Lucca",architecture,other,Italian,1551-1600,The picture shows the loggia of the courtyard with a rusticated stone portico.
676,https://www.wga.hu/detail/a/ammanati/4/pitti3.jpg,"AMMANATI, Bartolomeo","(b. 1511, Settignano, d. 1592, Firenze)",Palazzo Pitti: Courtyard,1558-70,Photo,"Piazza dei Pitti, Florence",architecture,other,Italian,1551-1600,The picture shows a view toward the Boboli Gardens.
680,https://www.wga.hu/detail/a/ammanati/4/zsketch.jpg,"AMMANATI, Bartolomeo","(b. 1511, Settignano, d. 1592, Firenze)",Architectural and anatomical sketches,-,"Pen, ink, and chalk on paper","Galleria degli Uffizi, Florence",graphics,study,Italian,1551-1600,This sheet shows the muscles and bones that allow to arm to occupy a particular position.
694,https://www.wga.hu/detail/a/andrea/firenze/spanish/1north2.jpg,ANDREA DA FIRENZE,"(active 1343-1377, Firenze)",Crucifixion (detail),1366-67,Fresco,"Cappellone degli Spagnoli, Santa Maria Novella, Florence",painting,religious,Italian,1351-1400,The figure shows the left part of the Crucifixion scene.
695,https://www.wga.hu/detail/a/andrea/firenze/spanish/1north3.jpg,ANDREA DA FIRENZE,"(active 1343-1377, Firenze)",Crucifixion (detail),1366-67,Fresco,"Cappellone degli Spagnoli, Santa Maria Novella, Florence",painting,religious,Italian,1351-1400,"In the right part of the Crucifixion scene, a group of figures runs from an attacking soldier."
697,https://www.wga.hu/detail/a/andrea/firenze/spanish/1north5.jpg,ANDREA DA FIRENZE,"(active 1343-1377, Firenze)",Bearing of the Cross (detail),1366-67,Fresco,"Cappellone degli Spagnoli, Santa Maria Novella, Florence",painting,religious,Italian,1351-1400,At bottom left on the north wall the scene Bearing of the Cross is depicted.
711,https://www.wga.hu/detail/a/andrea/firenze/spanish/2east11.jpg,ANDREA DA FIRENZE,"(active 1343-1377, Firenze)",The Church as the Path to Salvation (detail),1366-67,Fresco,"Cappellone degli Spagnoli, Santa Maria Novella, Florence",painting,religious,Italian,1351-1400,In the upper right part of the fresco a monk is granting absolution to a man kneeling before him.
713,https://www.wga.hu/detail/a/andrea/firenze/spanish/2east13.jpg,ANDREA DA FIRENZE,"(active 1343-1377, Firenze)",The Church as the Path to Salvation (detail),1366-67,Fresco,"Cappellone degli Spagnoli, Santa Maria Novella, Florence",painting,religious,Italian,1351-1400,The detail shows two allegorical figures in the upper right part of the fresco..
725,https://www.wga.hu/detail/a/andrea/firenze/various/10saint1.jpg,ANDREA DA FIRENZE,"(active 1343-1377, Firenze)",The Madonna and Child with Ten Saints (detail),1365-70,Egg tempera on wood,"National Gallery, London",painting,religious,Italian,1351-1400,The detail shows the Madonna and Child in the centre of the panel.
726,https://www.wga.hu/detail/a/andrea/firenze/various/10saint2.jpg,ANDREA DA FIRENZE,"(active 1343-1377, Firenze)",The Madonna and Child with Ten Saints (detail),1365-70,Egg tempera on wood,"National Gallery, London",painting,religious,Italian,1351-1400,The detail shows St Mark and St Peter Martyr.
727,https://www.wga.hu/detail/a/andrea/firenze/various/10saint3.jpg,ANDREA DA FIRENZE,"(active 1343-1377, Firenze)",The Madonna and Child with Ten Saints (detail),1365-70,Egg tempera on wood,"National Gallery, London",painting,religious,Italian,1351-1400,The detail shows St John the Evangelist and St Gregory.
728,https://www.wga.hu/detail/a/andrea/firenze/various/10saint4.jpg,ANDREA DA FIRENZE,"(active 1343-1377, Firenze)",The Madonna and Child with Ten Saints (detail),1365-70,Egg tempera on wood,"National Gallery, London",painting,religious,Italian,1351-1400,"The detail shows St Thomas Aquinas, St Dominic and St Luke."
729,https://www.wga.hu/detail/a/andrea/firenze/various/10saint5.jpg,ANDREA DA FIRENZE,"(active 1343-1377, Firenze)",The Madonna and Child with Ten Saints (detail),1365-70,Egg tempera on wood,"National Gallery, London",painting,religious,Italian,1351-1400,"The detail shows St Catherine of Alexandria. Mary Magdalene, and St Thomas Becket."
747,https://www.wga.hu/detail/a/andrea/castagno/1_1440s/07apollo.jpg,ANDREA DEL CASTAGNO,"(b. 1423, Castagno, d. 1457, Firenze)",Stories of Christ's Passion (detail),1447,Fresco,"Sant'Apollonia, Florence",painting,religious,Italian,1401-1450,The detail shows mourners at the foot of the  cross.
757,https://www.wga.hu/detail/a/andrea/castagno/1_1440s/08lasts6.jpg,ANDREA DEL CASTAGNO,"(b. 1423, Castagno, d. 1457, Firenze)",Last Supper (detail),1447,Fresco,"Sant'Apollonia, Florence",painting,religious,Italian,1401-1450,The detail shows the figure of St Thomas.
758,https://www.wga.hu/detail/a/andrea/castagno/1_1440s/08lasts7.jpg,ANDREA DEL CASTAGNO,"(b. 1423, Castagno, d. 1457, Firenze)",Last Supper (detail),1447,Fresco,"Sant'Apollonia, Florence",painting,religious,Italian,1401-1450,The detail shows the figure of St Simon.
759,https://www.wga.hu/detail/a/andrea/castagno/1_1440s/08lasts8.jpg,ANDREA DEL CASTAGNO,"(b. 1423, Castagno, d. 1457, Firenze)",Last Supper (detail),1447,Fresco,"Sant'Apollonia, Florence",painting,religious,Italian,1401-1450,An extraordinary element of this fresco is the remarkable balance of gestures and expressions.
764,https://www.wga.hu/detail/a/andrea/castagno/2_famous/1eve.jpg,ANDREA DEL CASTAGNO,"(b. 1423, Castagno, d. 1457, Firenze)",Famous Persons: Eve,c. 1450,Fresco,"Villa Carducci, Legnaia",painting,portrait,Italian,1401-1450,The figure of Eve is still in situ on the end wall.
798,https://www.wga.hu/detail/a/andrea/sarto/1/lucrezia.jpg,ANDREA DEL SARTO,"(b. 1486, Firenze, d. 1530, Firenze)",Portrait of the Artist's Wife,1513-14,"Oil on panel, 73 x 56 cm","Museo del Prado, Madrid",painting,portrait,Italian,1501-1550,The sitter of this portrait is the artist's wife.
824,https://www.wga.hu/detail/a/andrea/sarto/2/trinity1.jpg,ANDREA DEL SARTO,"(b. 1486, Firenze, d. 1530, Firenze)",Head of a Man in Profile Facing Left,before 1517,"Charcoal on paper, 369 x 242 mm","Galleria degli Uffizi, Florence",graphics,study,Italian,1501-1550,This study from life is a preparatory drawing for the figure of St Peter Martyr.
834,https://www.wga.hu/detail/a/andrea/sarto/3/madglorz.jpg,ANDREA DEL SARTO,"(b. 1486, Firenze, d. 1530, Firenze)",Madonna and Child in Glory with Six Saints (detail),c. 1528,Oil on wood,"Galleria Palatina (Palazzo Pitti), Florence",painting,religious,Italian,1501-1550,The detail represents the figure of St Roch.
838,https://www.wga.hu/detail/a/andrea/sarto/3/the_annx.jpg,ANDREA DEL SARTO,"(b. 1486, Firenze, d. 1530, Firenze)",Annunciation (detail),c. 1528,Oil on wood,"Galleria Palatina (Palazzo Pitti), Florence",painting,religious,Italian,1501-1550,The detail shows the Archangel Gabriel.
839,https://www.wga.hu/detail/a/andrea/sarto/3/the_anny.jpg,ANDREA DEL SARTO,"(b. 1486, Firenze, d. 1530, Firenze)",Annunciation (detail),c. 1528,Oil on wood,"Galleria Palatina (Palazzo Pitti), Florence",painting,religious,Italian,1501-1550,The detail shows the Madonna Annunciate. 
857,https://www.wga.hu/detail/a/andrea/jacopo/s_altar3.jpg,ANDREA DI JACOPO D'OGNABENE,(active 1286-1317),Silver Altar of St James (detail),after 1316,Enamel,"Duomo, Pistoia",sculpture,religious,Italian,1251-1300,The picture shows St James.
858,https://www.wga.hu/detail/a/andrea/jacopo/s_altar4.jpg,ANDREA DI JACOPO D'OGNABENE,(active 1286-1317),Silver Altar of St James (detail),after 1316,Silver,"Duomo, Pistoia",sculpture,religious,Italian,1251-1300,The picture shows the Annunciation and the Visitation.
859,https://www.wga.hu/detail/a/andrea/jacopo/s_altar5.jpg,ANDREA DI JACOPO D'OGNABENE,(active 1286-1317),Silver Altar of St James (detail),after 1316,Silver,"Duomo, Pistoia",sculpture,religious,Italian,1251-1300,The picture shows enamels decorating the antependium.
860,https://www.wga.hu/detail/a/andrea/jacopo/s_altar6.jpg,ANDREA DI JACOPO D'OGNABENE,(active 1286-1317),Silver Altar of St James (detail),c. 1287,Silver,"Duomo, Pistoia",sculpture,religious,Italian,1251-1300,The picture shows the Madonna and Child.
902,https://www.wga.hu/detail/a/anesi/landsca3.jpg,"ANESI, Paolo","(b. 1697, Roma, d. 1773, Roma)",Italianate Coastal Landscape,-,"Oil on copper, 21 x 30 cm",Private collection,painting,landscape,Italian,1701-1750,"This painting depicts an Italianate coastal landscape, with ruins above a fortified wall, and figures in boats and on a path in the foreground."
903,https://www.wga.hu/detail/a/anesi/rome.jpg,"ANESI, Paolo","(b. 1697, Roma, d. 1773, Roma)",Tiber Bridge in Rome,-,Oil on canvas,Private collection,painting,landscape,Italian,1701-1750,The painting shows the Tiber bridge in Rome with a view to the Ponte Sisto and the facade of the Farnesia.
904,https://www.wga.hu/detail/a/anesi/scene.jpg,"ANESI, Paolo","(b. 1697, Roma, d. 1773, Roma)",Harbour Scene,-,"Oil on canvas, 37 x 47 cm",Private collection,painting,landscape,Italian,1701-1750,The painting depicts a harbour scene with a ruined watch tower and groups of figures standing on the rocky shore.
932,https://www.wga.hu/detail/a/angelico/01/5prado1.jpg,"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",The Annunciation (detail),1430-32,Tempera on wood,"Museo del Prado, Madrid",painting,religious,Italian,1401-1450,The picture shows a detail of the predella.
933,https://www.wga.hu/detail/a/angelico/01/5prado2.jpg,"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",The Annunciation (detail),1430-32,Tempera on wood,"Museo del Prado, Madrid",painting,religious,Italian,1401-1450,The picture shows a detail of the predella.
947,https://www.wga.hu/detail/a/angelico/03/lastjud6.jpg,"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",Last Judgment (detail),c. 1431,Tempera on panel,"Museo di San Marco, Florence",painting,religious,Italian,1401-1450,The detail shows the Hell.
950,https://www.wga.hu/detail/a/angelico/04/1annunc2.jpg,"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",Annunciation (detail),1433-34,Tempera on wood,"Museo Diocesano, Cortona",painting,religious,Italian,1401-1450,The picture shows the angel of the Annuciation.
951,https://www.wga.hu/detail/a/angelico/04/1annunc3.jpg,"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",Annunciation (detail),1433-34,Tempera on wood,"Museo Diocesano, Cortona",painting,religious,Italian,1401-1450,The picture shows the Madonna of the Annuciation.
961,https://www.wga.hu/detail/a/angelico/05/cortona3.jpg,"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",Cortona Polyptych (detail),c. 1437,"Tempera and gold on panel, 31 x 47 cm","Museo Diocesano, Cortona",painting,religious,Italian,1401-1450,This is a scene depicting the crucified Christ with the Madonna and St John the Evangelist.
962,https://www.wga.hu/detail/a/angelico/05/cortona4.jpg,"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",Cortona Polyptych (detail),c. 1437,Tempera and gold on panel,"Museo Diocesano, Cortona",painting,religious,Italian,1401-1450,This picture shows the angel of the Annunciation.
963,https://www.wga.hu/detail/a/angelico/05/cortona5.jpg,"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",Cortona Polyptych (detail),c. 1437,Tempera and gold on panel,"Museo Diocesano, Cortona",painting,religious,Italian,1401-1450,This picture shows the Madonna of the Annunciation.
964,https://www.wga.hu/detail/a/angelico/05/cortona6.jpg,"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",Cortona Polyptych (detail),c. 1437,Tempera and gold on panel,"Museo Diocesano, Cortona",painting,religious,Italian,1401-1450,The detail shows the head of St Matthew.
965,https://www.wga.hu/detail/a/angelico/05/cortona7.jpg,"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",Cortona Polyptych (detail),c. 1437,Tempera and gold on panel,"Museo Diocesano, Cortona",painting,religious,Italian,1401-1450,The detail shows the head of Mary Magdalene.
975,https://www.wga.hu/detail/a/angelico/06/predel11.jpg,"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",Story of St Nicholas: Birth of St Nicholas (detail),1447-48,Tempera and gold on panel,"Pinacoteca, Vatican",painting,religious,Italian,1401-1450,The predella depicts the story of St Nicholas.
976,https://www.wga.hu/detail/a/angelico/06/predel12.jpg,"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",The Story of St Nicholas: Giving Dowry to Three Poor Girls,1447-48,Tempera and gold on panel,"Pinacoteca, Vatican",painting,religious,Italian,1401-1450,The predella depicts the story of St Nicholas.
1005,https://www.wga.hu/detail/a/angelico/08/8trinita.jpg,"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",Deposition from the Cross (detail),1437-40,Tempera on wood,"Museo di San Marco, Florence",painting,religious,Italian,1401-1450,This detail demonstrates landscapes.
1028,https://www.wga.hu/detail/a/angelico/09/corridor/annunci1.jpg,"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",The Annunciation (detail),1442-43,Fresco,"Convento di San Marco, Florence",painting,religious,Italian,1401-1450,The detail represents the Madonna Annunciate.
1029,https://www.wga.hu/detail/a/angelico/09/corridor/annunci2.jpg,"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",The Annunciation (detail),1442-43,Fresco,"Convento di San Marco, Florence",painting,religious,Italian,1401-1450,The detail represents the Archangel Gabriel.
1037,https://www.wga.hu/detail/a/angelico/09/corridor/sacraco2.jpg,"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",Sacra Conversazione (detail),c. 1443,Fresco,"Convento di San Marco, Florence",painting,religious,Italian,1401-1450, The Madonna lowers her eyes as she presents her son.
1043,https://www.wga.hu/detail/a/angelico/10/1west/10west.jpg,"ANGELICO, Fra","(b. ca. 1400, Vicchio nell Mugello, d. 1455, Roma)",Lunette of the west wall,1447-49,"Fresco, 322 x 472 cm","Cappella Niccolina, Palazzi Pontifici, Vatican",painting,religious,Italian,1401-1450,"The lunette represents two scenes, St Peter Consacrates Stephen as Deacon; St Stephen Distributing Alms."
